lake,elev_m,area_m2,vol_m3
Long,334.9043731,199664.4804,265592.9626
Long,334.9348531,201016.8449,271700.9835
Long,334.9653331,202285.987,277847.9903
Long,334.9958131,203485.777,284034.0972
Long,335.0262931,204574.6038,290255.1252
Long,335.0567731,205767.4586,296504.0925
Long,335.0872531,206870.1558,302794.3781
Long,335.1177331,208104.6219,309120.7906
Long,335.1482131,209117.1615,315479.9302
Long,335.1786931,210379.3683,321868.5798
Long,335.2091731,211454.3247,328300.1928
Long,335.2396531,212522.3459,334763.4672
Long,335.2701331,213576.4967,341258.8538
Long,335.3006131,214679.1939,347781.4563
Long,335.3310931,215747.2151,354341.9944
Long,335.3615731,216718.1434,360934.8932
Long,335.3920531,217827.7758,367556.9083
Long,335.4225331,218819.5098,374213.4365
Long,335.4530131,219908.3366,380893.8351
Long,335.4834931,220796.0425,387612.1095
Long,335.5139731,221843.2581,394359.4277
Long,335.5444531,222862.7328,401138.6707
Long,335.5749331,223736.5684,407939.1085
Long,335.6054131,224742.1727,414774.1375
Long,335.6358931,225650.6842,421637.9896
Long,335.6663731,226649.3534,428532.8665
Long,335.6968531,227634.1522,435450.2975
Long,335.7273331,228466.3765,442402.5036
Long,335.7578131,229402.6288,449383.0601
Long,335.7882931,230345.8164,456390.6638
Long,335.8187731,231254.3279,463426.5184
Long,335.8492531,232135.0986,470483.0064
Long,335.8797331,232974.2581,477574.4494
Long,335.9102131,233875.8344,484690.6432
Long,335.9406931,234832.8924,491835.7787
Long,335.9711731,235727.5335,499001.2715
Long,336.0016531,236636.045,506200.4545
Long,336.0321331,237475.2045,513426.7188
Long,336.0626131,238307.4288,520679.2599
Long,336.0930931,239139.6531,527950.7571
Long,336.1235731,239964.9422,535253.2453
Long,336.1540531,240859.5834,542582.7612
Long,336.1845331,241781.9653,549939.9818
Long,336.2150131,242537.9024,557322.6295
Long,336.2454931,243453.3491,564723.7338
Long,336.2759731,244250.8974,572158.3094
Long,336.3064531,245201.0201,579618.5428
Long,336.3369331,246054.05,587107.0904
Long,336.3674131,246747.5703,594611.2868
Long,336.3978931,247656.0818,602148.3188
Long,336.4283731,248467.5005,609710.257
Long,336.4588531,249376.0121,617298.9724
Long,336.4893331,250277.5884,624906.8689
Long,336.5198131,251040.4607,632549.9651
Long,336.5502931,251858.8146,640214.711
Long,336.5807731,252628.622,647903.9416
Long,336.6112531,253509.3928,655618.064
Long,336.6417331,254438.7099,663353.1615
Long,336.6722131,255395.7678,671125.5893
Long,336.7026931,256165.5753,678924.4069
Long,336.7331731,257039.4108,686747.2496
Long,336.7636531,257878.5703,694587.7963
Long,336.7941331,258585.961,702460.2897
Long,336.804,258946.5915,705011.1483
Plainfield,332.07547,0,0
Plainfield,332.10595,111.4840939,2.539193586
Plainfield,332.13643,334.4522818,8.325243465
Plainfield,332.16691,594.5818343,23.10450689
Plainfield,332.19739,743.2272929,42.62987357
Plainfield,332.22787,1077.679575,70.68461718
Plainfield,332.25835,1337.809127,106.8729456
Plainfield,332.28883,1672.261409,153.5401256
Plainfield,332.31931,2192.520514,210.6271854
Plainfield,332.34979,2861.425078,287.3961141
Plainfield,332.38027,3641.813735,385.9120621
Plainfield,332.41075,5425.559238,516.304586
Plainfield,332.44123,8993.050244,727.1109552
Plainfield,332.47171,14492.93221,1087.214876
Plainfield,332.50219,20290.1051,1620.976276
Plainfield,332.53267,25158.24386,2314.591197
Plainfield,332.56315,30435.15764,3169.795906
Plainfield,332.59363,35228.97368,4165.444445
Plainfield,332.62411,40914.66247,5316.101736
Plainfield,332.65459,46563.1899,6654.339544
Plainfield,332.68507,51951.58777,8159.405432
Plainfield,332.71555,57525.79247,9832.343883
Plainfield,332.74603,64140.51538,11679.42973
Plainfield,332.77651,70346.46327,13734.17376
Plainfield,332.80699,74322.72929,15947.13484
Plainfield,332.83747,77481.44529,18262.32823
Plainfield,332.86795,80825.9681,20678.44861
Plainfield,332.89843,83167.13408,23180.60672
Plainfield,332.92891,85619.78414,25756.30164
Plainfield,332.95939,88592.69331,28404.17815
Plainfield,332.98987,91119.66611,31143.74349
Plainfield,333.02035,93832.44573,33968.78291
Plainfield,333.05083,96731.03217,36876.94661
Plainfield,333.08131,99220.8436,39857.1184
Plainfield,333.11179,100893.105,42908.8367
Plainfield,333.14227,102453.8823,46006.86495
Plainfield,333.17275,104386.2733,49159.73252
Plainfield,333.20323,106207.1802,52366.27585
Plainfield,333.23371,108251.0552,55634.38017
Plainfield,333.26419,109551.703,58953.99077
Plainfield,333.29467,111223.9644,62319.5416
Plainfield,333.32515,112450.2894,65729.67518
Plainfield,333.35563,113527.969,69171.53338
Plainfield,333.38611,114605.6486,72649.28618
Plainfield,333.41659,115534.6827,76157.56713
Plainfield,333.44707,116909.6532,79700.81389
Plainfield,333.47755,118173.1396,83281.18458
Plainfield,333.50803,119250.8191,86898.94572
Plainfield,333.53851,120588.6283,90552.77725
Plainfield,333.56899,121591.9851,94240.87598
Plainfield,333.59947,122483.8579,97960.00754
Plainfield,333.62995,123152.7624,101703.186
Plainfield,333.66043,124304.7647,105477.9598
Plainfield,333.69091,124973.6693,109280.8111
Plainfield,333.72139,125754.058,113101.3414
Plainfield,333.75187,126645.9307,116944.8673
Plainfield,333.78235,127277.6739,120813.7172
Plainfield,333.81283,127797.933,124703.4488
Plainfield,333.84331,128764.1285,128614.5644
Plainfield,333.87379,129581.6785,132549.6658
Plainfield,333.90427,130250.5831,136509.2507
Plainfield,333.93475,131105.2945,140490.9694
Plainfield,333.96523,132071.4899,144501.9245
Plainfield,333.99571,132963.3627,148535.6824
Plainfield,334.02619,133632.2673,152599.1111
Plainfield,334.05667,134375.4946,156683.5792
Plainfield,334.08715,135230.2059,160794.7605
Plainfield,334.11763,136084.9173,164927.7795
Plainfield,334.14811,136642.3378,169082.3708
Plainfield,334.17859,137571.3719,173263.9395
Plainfield,334.20907,138314.5992,177470.2288
Plainfield,334.23955,139169.3106,181698.9943
Plainfield,334.27003,140024.022,185951.5471
Plainfield,334.30051,141176.0243,190238.9635
Plainfield,334.33099,142030.7357,194555.4815
Plainfield,334.36147,142736.8016,198896.2051
Plainfield,334.39195,143368.5448,203253.408
Plainfield,334.42243,144037.4494,207635.2895
Plainfield,334.45291,144892.1608,212036.7202
Plainfield,334.48339,146007.0017,216470.6262
