"lake","elev_m","area_m2","vol_m3","horiz_dist_m","plant_area_m2","upland_m2","upland_pcnt","inland_beach_m2","inland_beach_pcnt","emergent_m2","emergent_pcnt","floating_m2","floating_pcnt","submergent_weed_m2","submergent_weed_pcnt","submergent_algae_m2","submergent_algae_pcnt","submergent_m2","submergent_pcnt","meanHrdAtNest"
"Pleasant",298.5797592,528508.1848,2480634.028,13.2308950256885,571281.2871,27752.8504,4.85800095796626,44759.7489,7.8349755034362,59509.0945,10.4167764363658,101529.6792,17.7722746206857,193547.5355,33.8795510846342,316900.2261,55.4718372990446,NA,NA,0.458615346149059
"Pleasant",298.6102392,529742.3137,2496752.171,12.861425888017,571281.2871,25675.9016999999,4.4944412288277,45060.7558999999,7.88766530910582,59298.3895,10.3798935548925,102131.6933,17.8776542495295,193698.039,33.905895987469,318044.0529,55.6720585955983,NA,NA,0.459700406987799
"Pleasant",298.6407192,530916.2412,2512922.13,12.4874595139832,571281.2871,23930.0608,4.18884030343027,45301.5615,7.92981715364155,58876.9797,10.306127826955,102432.7003,17.9303440551991,192554.2122,33.7056746909153,319067.4768,55.8512039523796,NA,NA,0.460651530060858
"Pleasant",298.6711992,531999.8666,2529124.987,12.1070264478229,571281.2871,22515.3276,3.94119816426943,45421.9643999999,7.9508930934139,58305.0663,10.2060171786782,102492.9018,17.9408820338376,194089.3482,33.974392752344,320241.4044,56.0566942470047,NA,NA,0.461414576016785
"Pleasant",298.7016792,533143.6934,2545360.61,11.7174503690138,571281.2871,21220.9972999999,3.71463196488095,45090.8566999999,7.8929343071773,57642.8507,10.090099571196,103094.9159,18.0462616626814,194089.3481,33.9743927348395,321505.634,56.2779914658262,NA,NA,0.462262180734398
"Pleasant",298.7321592,534769.1315,2561621.338,11.3159116062542,571281.2871,20408.2783,3.57236947206843,44819.9503,7.84551346457012,57010.736,9.97945097928975,103636.7285,18.1411033128867,193457.2333,33.8637441254288,322498.9573,56.451867859545,NA,NA,0.463565039899497
"Pleasant",298.7626392,536635.3752,2577953.23,10.8976322209226,571281.2871,19174.1492999999,3.35634121630936,44819.9503,7.84551346457012,56378.6212,9.86880236987899,103817.3328,18.172717213793,193758.2404,33.9164339486029,323371.8777,56.6046683134915,NA,NA,0.464236689897611
"Pleasant",298.7931192,538802.626,2594346.128,10.423530294557,571281.2871,17909.9197,3.13504399748787,44398.5403999999,7.77174771912811,55987.312,9.80030560500395,104028.0378,18.2096000952663,192885.32,33.7636334946564,324335.1003,56.7732757266433,NA,NA,0.464717538426732
"Pleasant",298.8235992,540969.8768,2610803.213,9.90522443016495,571281.2871,16645.6901,2.91374677866637,43916.9291,7.68744401255219,55475.5999,9.71073290035655,104058.1385,18.2148690758332,194450.5566,34.0376205191476,325268.2221,56.9366141417237,NA,NA,0.465270483917452
"Pleasant",298.8540792,543528.4367,2627314.836,9.38051731155677,571281.2871,15381.4604999999,2.69244955984485,43435.3179,7.60314032348076,55385.2977999999,9.69492595865564,104298.9441,18.2570209203689,194781.6645,34.0955793403932,325990.6391,57.0630697103399,NA,NA,0.465926717410308
"Pleasant",298.8845592,545605.3854,2643918.358,8.88555745409878,571281.2871,14237.6337,2.49222826329121,42622.5986999999,7.46087779565919,54963.888,9.62116023071815,104208.6419,18.2412139611635,195263.2757,34.1798830294646,327014.0631,57.2422150846257,NA,NA,0.466774411637851
"Pleasant",298.9150392,547351.2263,2660577.112,8.47886180007522,571281.2871,13033.6054,2.28146898809912,42261.3903,7.39765002885563,54422.0753,9.52631856300829,104359.1455,18.2675588815029,195654.5848,34.2483797768352,327856.8828,57.3897465580052,NA,NA,0.467568567148289
